duration,src_bytes,dst_bytes,packet_count,protocol,failed_logins,attack_type
1,8605,418,631,TCP,0,DDoS
1,499,148,131,UDP,0,PortScan
10,370,160,105,UDP,0,PortScan
2,5138,320,666,TCP,0,DDoS
36,524,467,58,UDP,10,BruteForce
7,236,71,211,UDP,0,PortScan
17,424,997,45,TCP,0,Normal
49,199,1810,7,TCP,0,Normal
19,107,1545,7,UDP,0,Normal
19,1555,1995,5,UDP,0,Normal
7,480,44,281,TCP,0,PortScan
45,196,1620,40,UDP,0,Normal
1,208,197,87,TCP,0,PortScan
5,6526,480,455,TCP,0,DDoS
60,1429,1046,19,TCP,0,Normal
4,9941,431,157,TCP,0,DDoS
1,124,36,169,TCP,0,PortScan
60,2688,960,32,TCP,0,Normal
8,115,106,211,UDP,0,PortScan
9,389,42,126,TCP,0,PortScan
2,330,22,96,UDP,0,PortScan
8,148,23,70,TCP,0,PortScan
2,263,198,275,TCP,0,PortScan
22,1190,1464,13,TCP,0,Normal
7,315,85,100,TCP,0,PortScan
27,809,282,89,UDP,8,BruteForce
3,7645,405,913,TCP,0,DDoS
14,1363,1910,33,UDP,0,Normal
1,476,150,257,UDP,0,PortScan
25,1422,1102,29,UDP,0,Normal
38,310,53,67,UDP,6,BruteForce
8,382,25,70,UDP,0,PortScan
27,963,464,90,UDP,7,BruteForce
9,1895,1146,41,UDP,0,Normal
6,394,90,81,UDP,0,PortScan
5,9959,265,875,TCP,0,DDoS
31,441,1780,25,UDP,0,Normal
31,235,160,55,UDP,9,BruteForce
5,256,101,84,UDP,0,PortScan
22,1385,639,8,TCP,0,Normal
1,4882,267,956,TCP,0,DDoS
2,393,148,143,TCP,0,PortScan
11,390,300,25,UDP,4,BruteForce
4,419,70,96,UDP,0,PortScan
2,58,165,160,UDP,0,PortScan
15,2850,199,27,UDP,0,Normal
17,330,218,56,UDP,9,BruteForce
1,443,151,75,UDP,0,PortScan
4,5305,304,371,TCP,0,DDoS
3,3835,379,835,TCP,0,DDoS
6,484,82,260,UDP,0,PortScan
4,276,197,244,TCP,0,PortScan
5,311,168,209,UDP,0,PortScan
1,5382,353,650,TCP,0,DDoS
53,1600,1936,18,TCP,0,Normal
18,859,355,100,UDP,8,BruteForce
3,486,169,240,TCP,0,PortScan
14,1583,1180,26,TCP,0,Normal
4,6248,194,766,TCP,0,DDoS
14,2884,372,14,UDP,0,Normal
6,361,152,280,UDP,0,PortScan
2,320,168,298,TCP,0,PortScan
37,120,182,19,UDP,8,BruteForce
19,464,313,62,UDP,5,BruteForce
44,1280,1451,11,TCP,0,Normal
14,926,156,23,UDP,4,BruteForce
18,829,339,42,UDP,5,BruteForce
2,7890,155,687,TCP,0,DDoS
16,448,459,39,UDP,7,BruteForce
3,7792,122,446,TCP,0,DDoS
9,153,27,146,UDP,0,PortScan
15,516,84,12,UDP,9,BruteForce
18,266,71,89,UDP,7,BruteForce
45,1504,493,24,TCP,0,Normal
7,282,29,286,TCP,0,PortScan
31,177,454,10,UDP,10,BruteForce
4,6360,119,728,TCP,0,DDoS
45,1574,1788,23,UDP,0,Normal
6,121,174,63,TCP,0,PortScan
40,242,401,49,UDP,5,BruteForce
4,389,192,116,TCP,0,PortScan
1,3749,369,219,TCP,0,DDoS
4,3273,173,235,TCP,0,DDoS
9,210,61,147,UDP,0,PortScan
5,4513,98,192,TCP,0,DDoS
33,524,219,73,UDP,7,BruteForce
33,2469,248,21,UDP,0,Normal
3,255,46,182,TCP,0,PortScan
1,9571,70,697,TCP,0,DDoS
5,7862,162,523,TCP,0,DDoS
4,86,107,136,UDP,0,PortScan
21,292,432,15,UDP,8,BruteForce
5,3963,230,770,TCP,0,DDoS
2,8650,229,536,TCP,0,DDoS
8,57,76,153,TCP,0,PortScan
4,4677,300,261,TCP,0,DDoS
5,444,47,214,UDP,0,PortScan
19,162,356,82,UDP,8,BruteForce
1,9888,217,896,TCP,0,DDoS
3,3920,341,419,TCP,0,DDoS
36,644,278,5,TCP,0,Normal
5,366,185,110,UDP,0,PortScan
15,1725,347,17,TCP,0,Normal
28,876,372,59,UDP,3,BruteForce
9,881,1252,21,UDP,0,Normal
13,151,312,96,UDP,3,BruteForce
3,4155,416,131,TCP,0,DDoS
29,1526,376,18,TCP,0,Normal
6,305,84,239,TCP,0,PortScan
11,2559,1630,7,TCP,0,Normal
31,2200,1129,32,TCP,0,Normal
4,7963,56,215,TCP,0,DDoS
42,505,1099,7,TCP,0,Normal
1,366,176,201,TCP,0,PortScan
1,8458,136,509,TCP,0,DDoS
5,5774,228,877,TCP,0,DDoS
47,2153,1931,13,UDP,0,Normal
9,57,67,109,TCP,0,PortScan
29,1999,482,6,TCP,0,Normal
18,499,314,70,UDP,5,BruteForce
5,461,147,217,TCP,0,PortScan
1,8234,391,213,TCP,0,DDoS
34,535,319,13,UDP,3,BruteForce
7,370,48,260,TCP,0,PortScan
25,114,326,45,UDP,0,Normal
29,317,68,17,UDP,8,BruteForce
26,296,104,37,UDP,8,BruteForce
6,1717,807,13,UDP,0,Normal
19,543,1857,14,TCP,0,Normal
5,1131,1342,25,UDP,0,Normal
7,289,163,151,UDP,0,PortScan
34,674,263,77,UDP,5,BruteForce
2,393,83,67,UDP,0,PortScan
4,410,64,254,UDP,0,PortScan
31,600,111,49,UDP,3,BruteForce
15,234,203,39,UDP,7,BruteForce
5,8714,499,773,TCP,0,DDoS
1,9176,482,921,TCP,0,DDoS
46,2142,185,11,TCP,0,Normal
2,7526,273,629,TCP,0,DDoS
8,2428,1278,29,TCP,0,Normal
1,4838,495,876,TCP,0,DDoS
5,5985,177,223,TCP,0,DDoS
22,703,51,14,UDP,10,BruteForce
36,506,96,17,UDP,8,BruteForce
14,774,493,90,UDP,3,BruteForce
4,269,107,234,TCP,0,PortScan
29,214,368,29,UDP,3,BruteForce
31,2902,1617,5,TCP,0,Normal
12,627,119,12,UDP,5,BruteForce
1,9699,51,955,TCP,0,DDoS
7,271,1841,43,TCP,0,Normal
50,226,1765,28,TCP,0,Normal
8,311,84,229,TCP,0,PortScan
2,9036,421,349,TCP,0,DDoS
5,6861,168,749,TCP,0,DDoS
2,483,36,171,UDP,0,PortScan
1,263,172,235,TCP,0,PortScan
54,812,801,21,UDP,0,Normal
4,8201,197,323,TCP,0,DDoS
